reward_improvement,perturb_type,perturb_idx_0,perturb_idx_1,perturb_idx_2
0.24,large,307,309.0,325.0
0.24,large,307,309.0,324.0
0.24,large,307,309.0,323.0
0.24,large,307,309.0,322.0
0.24,large,307,309.0,321.0
0.24,large,307,309.0,320.0
0.24,large,307,312.0,325.0
0.24,large,307,312.0,324.0
0.24,large,307,312.0,323.0
0.24,large,307,312.0,322.0
0.24,large,307,312.0,321.0
0.24,large,307,312.0,320.0
0.24,large,307,312.0,319.0
0.24,large,307,312.0,318.0
0.24,large,307,313.0,323.0
0.24,large,307,313.0,322.0
0.24,large,307,313.0,321.0
0.24,large,307,313.0,320.0
0.24,large,307,313.0,319.0
0.24,large,307,313.0,318.0
0.24,large,307,313.0,317.0
